Species,Taxonomy_ID,Node_Name,PubChem_CID,KEGG_ID,Category,Compartment,MW_Da,logP,Conc_uM,Data_Source
Escherichia coli K-12,511145,2-Phosphoglycerate,59,C00631,Metabolite,Cytoplasm,186.06,-3.2,91.8,Park_2016_NatChemBiol_12:482_SuppTable5_Ecoli; PMID:26999781
Escherichia coli K-12,511145,3-Phosphoglycerate,724,C00197,Metabolite,Cytoplasm,186.06,-3.2,1540.0,Bennett_2009_NatChemBiol_5:593_SuppTable3_Glucose; PMID:19561621
Escherichia coli K-12,511145,6-Phosphogluconate,91546,C00345,Metabolite,Cytoplasm,276.14,-4.33,3770.0,Bennett_2009_NatChemBiol_5:593_SuppTable3_Glucose; PMID:19561621
Escherichia coli K-12,511145,ADP,6022,C00008,Metabolite,Cytoplasm,427.2,-4.79,555.0,Bennett_2009_NatChemBiol_5:593_SuppTable3_Glucose; PMID:19561621
Escherichia coli K-12,511145,AMP,6083,C00020,Metabolite,Cytoplasm,347.22,-3.5,281.0,Bennett_2009_NatChemBiol_5:593_SuppTable3_Glucose; PMID:19561621
Escherichia coli K-12,511145,ATP,5957,C00002,Metabolite,Cytoplasm,507.18,-5.7,9630.0,Bennett_2009_NatChemBiol_5:593_SuppTable3_Glucose; PMID:19561621
Escherichia coli K-12,511145,Acetyl-CoA,444493,C00024,Metabolite,Cytoplasm,809.6,-5.6,606.0,Bennett_2009_NatChemBiol_5:593_SuppTable3_Glucose; PMID:19561621
Escherichia coli K-12,511145,Acetylphosphate,186,C00227,Metabolite,Cytoplasm,140.01,-1.5,1070.0,Bennett_2009_NatChemBiol_5:593_SuppTable3_Glucose; PMID:19561621
Escherichia coli K-12,511145,Aconitate,643757,C00417,Metabolite,Cytoplasm,174.08,0.55,16.1,Bennett_2009_NatChemBiol_5:593_SuppTable3_Glucose; PMID:19561621
Escherichia coli K-12,511145,Alanine,5950,C00041,Metabolite,Cytoplasm,89.09,-3.0,2550.0,Bennett_2009_NatChemBiol_5:593_SuppTable3_Glucose; PMID:19561621
Escherichia coli K-12,511145,Arginine,6322,C00062,Metabolite,Cytoplasm,174.2,-4.2,569.0,Bennett_2009_NatChemBiol_5:593_SuppTable3_Glucose; PMID:19561621
